track,artist,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,probable_popularity,key_A,key_A#,key_B,key_C,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#
Un vieux,Chorus,0.00128,0.506,0.971,0.749,0.137,0.177,165.018,0.495,50,0,0,0,0,0,0,0,1,0,0,0,0
Maman - Live,Karine Costa,0.000135,0.488,0.897,7.48E-05,0.372,0.0348,145.943,0.457,50,0,0,0,0,0,0,0,0,0,0,0,1
À l'école,Henri Salvador,0.774,0.604,0.0864,0,0.102,0.55,92.789,0.262,25,0,1,0,0,0,0,0,0,0,0,0,0
Bienvenue à Paris,Chorus,0.015,0.529,0.943,0,0.163,0.077,95.152,0.6,75,0,0,0,0,0,1,0,0,0,0,0,0
Ça donne envie de chanter,Dorothée,0.349,0.63,0.663,0.0158,0.237,0.0393,127.041,0.532,25,0,0,0,0,0,1,0,0,0,0,0,0
Cinquante fois,Chorus,0.0509,0.72,0.668,0.000104,0.0768,0.0408,173.076,0.839,50,0,0,0,0,0,0,0,0,1,0,0,0
Chou hibou genou caillou,Pascal Laffarge,0.719,0.6,0.34,0.864,0.141,0.0285,114.319,0.57,50,0,0,0,0,1,0,0,0,0,0,0,0
What Are You Doing New Year's Eve? (feat. Dan Higgins),Frank Churchill,0.963,0.399,0.0623,0.355,0.233,0.0447,58.925,0.237,50,0,0,0,0,0,0,0,1,0,0,0,0
Au pays de Candy - Générique,Chorus,0.068,0.686,0.9,0,0.0985,0.0614,155.963,0.962,50,0,0,0,0,0,0,0,0,1,0,0,0
Le plus grand orchestre de l'univers - Live,Jean Claude Corbel,0.226,0.82,0.599,0.0489,0.105,0.141,137.022,0.356,75,0,1,0,0,0,0,0,0,0,0,0,0
Ça compte aussi la gentillesse,Jean Claude Corbel,0.974,0.158,0.0291,0.893,0.0989,0.0481,84.435,0.0376,50,0,0,0,0,0,0,0,1,0,0,0,0
Never get to sing the blues,Dominique Tirmont,0.496,0.464,0.433,0.000208,0.116,0.0516,144.957,0.372,75,0,0,0,0,0,0,0,0,0,1,0,0
Prayer Of St. Francis - Bonus Track,Henri Salvador,0.893,0.428,0.982,9.56E-06,0.597,0.748,129.112,0.0345,50,0,0,0,0,0,0,0,0,0,1,0,0
Les neiges de l'Himalaya - Live,Jean Claude Corbel,0.0489,0.659,0.662,0,0.351,0.0433,142.461,0.352,75,0,0,0,0,0,0,0,0,0,0,1,0
Ailleurs c'est comme ici,Jean Claude Corbel,0.364,0.827,0.403,0.828,0.157,0.182,80.028,0.54,50,0,0,0,1,0,0,0,0,0,0,0,0
Sans intolerans,Chorus,0.022,0.91,0.444,0,0.137,0.344,149.953,0.53,75,0,0,0,0,1,0,0,0,0,0,0,0
Je veux chanter pour vous,Chorus,0.709,0.0613,0.0602,0.722,0.183,0.0478,59.553,0.0374,50,0,0,0,0,0,0,0,0,1,0,0,0
Allo allo monsieur l’ordinateur - Live,Jean Claude Corbel,0.947,0.646,0.282,0.829,0.0942,0.0484,105.805,0.541,50,1,0,0,0,0,0,0,0,0,0,0,0
Nicolas et Marjolaine - Live,Chorus,0.0926,0.753,0.484,0,0.631,0.235,99.993,0.794,25,0,0,0,0,0,0,0,0,0,0,1,0
Les jumeaux du bout du monde,Chorus,0.218,0.629,0.824,1.28E-06,0.273,0.052,117.795,0.462,75,0,0,0,0,0,0,0,0,0,0,0,1
Ce n'est plus un château hanté,Chorus,0.141,0.592,0.581,0.534,0.368,0.0233,88.984,0.286,75,0,0,0,0,0,1,0,0,0,0,0,0
Je Tétanize,Chorus,0.889,0.235,0.411,0.935,0.207,0.0301,138.538,0.0391,50,0,0,0,0,0,1,0,0,0,0,0,0
Je sais nous,Henri Salvador,0.592,0.56,0.513,0,0.224,0.0346,133.219,0.579,25,0,0,0,0,0,0,0,0,0,0,1,0
La vie ici,Claire Guyot,0.893,0.622,0.528,2.47E-06,0.299,0.0419,85.31,0.471,25,0,0,0,0,1,0,0,0,0,0,0,0
Marie-Rose et l'homme invisible,Chorus,0.084,0.62,0.858,8.74E-05,0.691,0.0433,124.938,0.723,50,0,0,0,0,0,0,0,0,0,0,1,0
Où que tu sois,Richard M. Sherman,0.108,0.727,0.654,0,0.0541,0.322,74.662,0.684,50,0,0,0,0,0,1,0,0,0,0,0,0
Dorothée Rock,Chorus,0.541,0.604,0.768,0.0201,0.752,0.0308,123.067,0.645,75,0,0,0,0,0,0,0,0,0,0,1,0
Un Matin,Chorus,0.763,0.629,0.358,0,0.945,0.949,75.909,0.647,25,0,0,0,0,0,1,0,0,0,0,0,0
Je t'écris,Henri Salvador,0.293,0.717,0.414,0.00326,0.106,0.138,91.045,0.487,75,0,0,0,0,0,0,0,0,1,0,0,0
Nicolas et Marjolaine,Choeurs,0.00121,0.537,0.605,0,0.113,0.0352,177.361,0.565,75,0,1,0,0,0,0,0,0,0,0,0,0
Qui Pourrait Dire,Chorus,0.00572,0.272,0.904,0.0307,0.0875,0.0537,195.103,0.787,25,0,0,0,0,1,0,0,0,0,0,0,0
Capitaine Flam: La chevauchée du capitaine Flam,Henri Salvador,0.57,0.599,0.399,0,0.0793,0.0247,97.202,0.388,25,0,0,0,0,0,1,0,0,0,0,0,0
Je suis amoureuse de toi,Chorus,0.959,0.212,0.16,2.67E-05,0.144,0.0432,79.651,0.0787,25,1,0,0,0,0,0,0,0,0,0,0,0
Bouba petit ourson,Chorus,0.00531,0.854,0.511,0.134,0.111,0.215,129.995,0.358,50,0,0,0,0,0,0,0,0,0,0,1,0
Tous Les Mêmes,Les Hérissons,0.522,0.55,0.58,0.929,0.111,0.0289,84.853,0.482,50,0,0,0,0,0,0,0,0,1,0,0,0
"Albator, le corsaire de l'espace - Générique",Chorus,0.855,0.537,0.61,0,0.702,0.951,189.235,0.476,25,0,0,0,0,0,0,0,0,0,0,1,0
Au Delà Des Frontières - Live,Michel Roux,0.994,0.191,0.0529,0.946,0.0905,0.0398,85.934,0.0853,50,0,0,0,0,0,0,0,0,1,0,0,0
Send in the Clowns (From A Little Night Music),Debbie Davis,0.0393,0.595,0.909,0,0.0749,0.31,86.923,0.524,75,0,0,0,0,0,0,0,0,0,1,0,0
Je serai (ta meilleure amie) - Groove Radio Remix,Chorus,0.825,0.676,0.656,0.0119,0.118,0.211,94.383,0.283,75,0,0,0,0,0,0,0,0,0,0,0,1
Quand Tu Danses - Live,Idoles De La Musique,0.995,0.524,0.0119,0.906,0.0757,0.0939,115.404,0.0593,25,0,0,0,0,1,0,0,0,0,0,0,0
En Regardant La Mer - Live,Jean Claude Corbel,0.914,0.226,0.168,5.33E-05,0.196,0.0366,112.645,0.076,25,0,0,0,0,0,0,0,1,0,0,0,0
Before Your Throne,Jean Claude Corbel,0.176,0.649,0.801,0,0.18,0.0606,170.004,0.883,50,0,0,0,0,1,0,0,0,0,0,0,0
Si Tu Revenais - Live,Jean Claude Corbel,0.39,0.582,0.804,0,0.208,0.0365,126.965,0.528,50,0,0,0,0,0,0,0,0,0,0,0,1
Sur La Scène,Chorus,0.89,0.374,0.135,0,0.98,0.0367,87.663,0.225,50,0,0,0,0,0,0,0,0,0,0,1,0
Notre père - Live,Lucie Dolene,0.89,0.547,0.263,0.894,0.0841,0.0451,137.715,0.248,50,0,0,0,0,0,0,1,0,0,0,0,0
"Rinaldo, HWV 7a, Act III (Ed. G. Sechi): Tanto sarò crudele [Live]",Frank Churchill,0.146,0.72,0.425,0.108,0.785,0.71,129.929,0.548,25,0,0,0,0,0,0,0,0,0,0,0,1
"Symphony in C Major, Op. 46 (Live)",Les Hérissons,0.028,0.607,0.554,0,0.169,0.371,92.193,0.404,25,1,0,0,0,0,0,0,0,0,0,0,0
"Falstaff, Act I Pt. 2: Alice. Meg. Nannetta (Live)",Céline Languedoc,0.365,0.65,0.454,0,0.297,0.0287,97.996,0.327,50,0,0,0,0,0,0,0,0,0,0,0,1
"Falstaff, Act I Pt. 2: Psst, psst, Nannetta. Vien qua (Live)",Henri Salvador,0.0269,0.704,0.589,0.11,0.154,0.0315,128.807,0.789,50,0,0,0,0,0,0,0,1,0,0,0,0
"Falstaff, Act I Pt. 2: Falstaff, m'ha canzonata (Live)",Henri Salvador,0.749,0.573,0.622,0.919,0.11,0.0333,105.004,0.25,50,1,0,0,0,0,0,0,0,0,0,0,0
"Falstaff, Act I Pt. 2: Fulgida Alice! (Live)",Leopold Stokowski,0.152,0.567,0.978,0.000209,0.426,0.406,171.764,0.841,50,0,0,0,0,0,0,0,0,0,1,0,0
"Falstaff, Act I Pt. 2: È un ribaldo, un furbo (Live)",Chorus,0.0719,0.748,0.422,6.02E-05,0.0598,0.0296,102.931,0.333,50,0,0,0,0,0,0,0,0,0,0,0,1
"Les contes d'Hoffmann, Prologue: La verite dit-on (Live)",Henri Salvador,0.586,0.49,0.579,0,0.374,0.192,143.895,0.737,25,0,1,0,0,0,0,0,0,0,0,0,0
"Ballet Suite from ""Hérodiade"": V. Final",Chorus,0.106,0.519,0.392,0.674,0.139,0.0559,86.123,0.253,75,0,0,0,0,0,0,1,0,0,0,0,0
"Ballet Suite from ""Hérodiade"": III. Les gauloises",Karine Costa,0.502,0.565,0.494,0.187,0.0731,0.0306,114.113,0.385,50,0,0,0,0,0,0,0,0,0,0,0,1
"Ballet Suite from ""Hérodiade"": IV. Les phéniciennes",Jean Piat,0.474,0.689,0.75,2.30E-06,0.345,0.054,102.71,0.9,50,0,0,0,0,0,0,0,0,0,0,1,0
"Ballet Suite from ""Hérodiade"": II. Les babyloniennes",Henri Salvador,0.94,0.375,0.192,0.000337,0.855,0.0683,138.209,0.182,25,0,0,0,0,1,0,0,0,0,0,0,0
Make New Friends,Idoles De La Musique,0.00259,0.212,0.865,0.239,0.0933,0.0511,163.335,0.681,50,0,1,0,0,0,0,0,0,0,0,0,0
Apples And Bananas,Chorus,0.0258,0.312,0.713,0,0.135,0.0327,169.871,0.196,75,1,0,0,0,0,0,0,0,0,0,0,0
Shortnin' Bread,Chorus,0.053,0.616,0.789,0,0.142,0.0377,83.066,0.621,75,0,0,0,0,0,0,0,0,0,0,1,0
Clementine,Henri Salvador,0.162,0.556,0.945,0.000132,0.139,0.0924,133.984,0.5,50,0,0,0,0,0,0,0,0,0,0,0,1
Five Little Ducks,Randy Newman,0.246,0.683,0.574,0.897,0.105,0.0361,111.03,0.304,50,0,0,0,0,0,0,0,0,0,1,0,0
Should've Been a Cowboy,Chorus,0.0464,0.368,0.954,0,0.199,0.112,89.912,0.515,50,0,0,0,0,1,0,0,0,0,0,0,0
Breathe,Jean Claude Corbel,0.98,0.219,0.0329,0.926,0.0698,0.0394,86.878,0.0385,25,0,0,0,0,0,0,0,1,0,0,0,0
I Still Believe in You,Henri Salvador,0.641,0.677,0.506,0,0.354,0.0562,85.039,0.767,25,0,0,0,0,0,0,0,1,0,0,0,0
Itsy Bitsy Spider,Chorus,0.149,0.752,0.718,0.759,0.203,0.0383,122,0.336,50,0,0,0,0,0,0,1,0,0,0,0,0
Who's Gonna Make Our Music?,Jean Claude Corbel,0.000685,0.61,0.606,0.0746,0.294,0.0429,87.942,0.477,50,0,0,0,0,0,0,0,0,0,1,0,0
Anything We Want to Be,Henri Salvador,0.991,0.397,0.196,0.878,0.0913,0.0331,137.922,0.431,25,0,0,0,0,0,0,0,1,0,0,0,0
I Like...,Céline Languedoc,0.384,0.801,0.762,0,0.0687,0.205,91.072,0.948,25,1,0,0,0,0,0,0,0,0,0,0,0
I Took a Train,Chorus,0.608,0.705,0.618,0,0.208,0.0626,102.807,0.885,25,1,0,0,0,0,0,0,0,0,0,0,0
Shapes,Lucie Dolene,0.708,0.229,0.2,0.934,0.094,0.0357,142.653,0.0351,50,1,0,0,0,0,0,0,0,0,0,0,0
5 Smiles,Leopold Stokowski,0.115,0.781,0.426,0.23,0.131,0.0959,91.029,0.571,75,0,0,0,1,0,0,0,0,0,0,0,0
The Safety Dance,Dominique Tirmont,0.000765,0.619,0.863,0.213,0.548,0.104,135.106,0.323,25,0,0,0,0,0,0,0,0,0,1,0,0
Go In & Out Together,Randy Newman,0.0659,0.673,0.409,0,0.122,0.0977,153.977,0.367,50,0,0,0,1,0,0,0,0,0,0,0,0
Pico De Gallo,Les Hérissons,0.726,0.478,0.461,2.95E-06,0.0776,0.0771,174.504,0.768,25,0,0,0,0,0,0,0,0,1,0,0,0
Little Red Caboose/Workin' On the Railroad,Chorus,0.00525,0.375,0.848,0,0.271,0.0615,160.219,0.486,50,0,0,0,0,0,1,0,0,0,0,0,0
Let's Go Fly A Kite,Leopold Stokowski,0.0123,0.561,0.692,2.60E-05,0.715,0.114,185.53,0.671,50,1,0,0,0,0,0,0,0,0,0,0,0
The Ants Go Marching,Chorus,0.169,0.397,0.423,9.58E-05,0.0957,0.0278,88.462,0.49,75,0,0,1,0,0,0,0,0,0,0,0,0
Old Mac Donald,Jean Claude Corbel,0.00674,0.813,0.819,0.000423,0.225,0.121,127.997,0.279,75,0,0,0,0,1,0,0,0,0,0,0,0
The Girl I Am,Chorus,0.219,0.711,0.678,0,0.176,0.0476,94.04,0.615,75,1,0,0,0,0,0,0,0,0,0,0,0
Anyway,Jean Piat,7.30E-05,0.534,0.943,0.285,0.107,0.224,150.04,0.422,50,0,0,0,0,0,0,0,0,1,0,0,0
You Had Me from Hello,Chorus,0.0146,0.698,0.646,0,0.269,0.0415,131.945,0.787,75,0,0,0,0,0,0,0,1,0,0,0,0
Believe,Leopold Stokowski,0.503,0.651,0.465,0.0455,0.495,0.0328,107.75,0.585,75,0,0,0,0,0,0,0,1,0,0,0,0
The Wheels On The Bus Go Round And Round,Marie-Thérèse Orain,0.97,0.418,0.251,0.113,0.0585,0.041,90.334,0.0953,25,0,0,0,0,0,1,0,0,0,0,0,0
Old Macdonald Had A Farm,Dominique Tirmont,0.227,0.682,0.398,0,0.0684,0.0399,99.743,0.259,50,0,0,0,0,0,0,0,0,0,0,0,1
Verb - SHR Edit,Randy Newman,0.034,0.626,0.672,6.69E-05,0.106,0.221,139.214,0.366,50,0,0,0,0,0,0,0,1,0,0,0,0
La Raspa,Chorus,0.214,0.326,0.872,0,0.461,0.122,173.381,0.492,75,0,0,0,0,0,1,0,0,0,0,0,0
On Your Mark (4/4),Frank Churchill,0.427,0.248,0.671,0.858,0.0806,0.148,77.255,0.163,50,0,0,0,1,0,0,0,0,0,0,0,0
Yankee Doodle,Leopold Stokowski,0.0181,0.65,0.797,0,0.115,0.0618,110.017,0.67,50,0,0,0,0,0,0,0,0,0,0,1,0
Good Night Ladies,Henri Salvador,0.00217,0.426,0.949,9.07E-05,0.38,0.176,169.943,0.285,25,0,1,0,0,0,0,0,0,0,0,0,0
Old McDonald Had a Farm,Bernard Minet,0.0848,0.778,0.5,1.63E-06,0.131,0.382,126.883,0.342,50,0,0,0,0,1,0,0,0,0,0,0,0
Row Row Row Your Boat,Dominique Tirmont,0.805,0.585,0.896,0,0.945,0.932,117.701,0.0819,25,0,0,0,0,1,0,0,0,0,0,0,0
Brand New Day,Chorus,1.93E-05,0.587,0.882,0.00362,0.0941,0.0361,132.372,0.607,50,0,0,0,0,0,0,1,0,0,0,0,0
Cowgirl Ballet (Instrumental),Jean Piat,0.631,0.153,0.264,0.888,0.101,0.035,83.357,0.0359,50,0,0,0,0,0,0,0,0,0,0,1,0
Mickey Mouse Club March,Henri Salvador,0.041,0.808,0.697,0,0.0546,0.241,95.06,0.554,75,0,1,0,0,0,0,0,0,0,0,0,0
Town Mouse and the Country Mouse,Idoles De La Musique,0.154,0.757,0.544,6.07E-05,0.226,0.219,173.208,0.921,75,0,0,0,0,0,0,0,0,1,0,0,0
The Wild Swans,Leopold Stokowski,0.0963,0.718,0.714,0,0.141,0.0622,149.949,0.84,75,0,0,0,1,0,0,0,0,0,0,0,0
Humpty Dumpty,Marie-Thérèse Orain,0.0669,0.421,0.597,0.734,0.133,0.0395,92.919,0.382,50,0,0,1,0,0,0,0,0,0,0,0,0
Here Sits A Monkey,Chorus,0.000238,0.29,0.937,0.0589,0.317,0.137,148.357,0.408,50,0,0,0,0,0,0,0,0,0,0,0,1
Roar! (Lion Song),Henri Salvador,0.992,0.586,0.223,0.885,0.103,0.0568,147.44,0.824,25,0,0,0,0,0,0,0,0,0,0,1,0
Bouncy Beach Ball,Michel Roux,0.084,0.669,0.92,0.00722,0.214,0.049,119.79,0.89,50,1,0,0,0,0,0,0,0,0,0,0,0
Crab Calypso,Chorus,0.136,0.745,0.532,0,0.061,0.138,115.992,0.507,50,0,0,0,0,1,0,0,0,0,0,0,0
Let's Go To The Beach,Henri Salvador,0.5,0.723,0.583,0,0.0429,0.173,180.042,0.654,25,1,0,0,0,0,0,0,0,0,0,0,0
The Cheese Song,Henri Salvador,0.772,0.375,0.101,0.966,0.0623,0.036,74.674,0.181,50,0,0,0,0,0,0,0,0,0,0,1,0
Colouring In,Henri Salvador,0.736,0.526,0.176,0,0.26,0.0493,117.382,0.414,25,0,0,0,0,0,0,0,0,0,0,1,0
I’ve Got A Lovely Bunch Of Coconuts,Frank Churchill,0.578,0.37,0.37,6.94E-06,0.118,0.072,86.771,0.301,50,0,0,0,0,0,0,0,0,0,0,1,0
Mikey The Marsian,Jean Claude Corbel,3.09E-05,0.435,0.962,0.022,0.213,0.0831,140.025,0.274,50,0,0,0,0,0,1,0,0,0,0,0,0
Ghostbusters,Chorus,0.0776,0.484,0.61,2.81E-06,0.102,0.0363,84.365,0.584,75,0,0,1,0,0,0,0,0,0,0,0,0
Knees Up Mother Brown,Michel Roux,0.519,0.71,0.528,0.000219,0.109,0.0506,120.065,0.319,75,1,0,0,0,0,0,0,0,0,0,0,0
I Wan'na Be Like You,Chorus,0.333,0.58,0.843,0.00251,0.339,0.0955,153.068,0.724,50,0,0,0,0,0,1,0,0,0,0,0,0
Deep and Wide,Oliver Wallace,0.995,0.383,0.00806,0.931,0.15,0.055,92.465,0.367,50,0,0,0,0,0,1,0,0,0,0,0,0
Father Abraham,Jean Claude Corbel,0.00388,0.568,0.803,5.63E-06,0.405,0.0427,126.019,0.209,75,0,0,0,0,0,0,0,0,1,0,0,0
"A Tisket, A Tasket (Bells)",Jean Davy,0.195,0.689,0.745,0,0.069,0.0319,132.201,0.731,25,0,0,0,0,0,0,0,0,0,0,0,1
Gallop and Switch (6/8),Chorus,0.925,0.348,0.445,0.207,0.677,0.101,114.848,0.288,25,1,0,0,0,0,0,0,0,0,0,0,0
Petite Ballerinas (Vocal),Marie-Thérèse Orain,0.0326,0.303,0.665,0.00592,0.214,0.0452,133.441,0.436,50,0,0,0,0,0,0,0,0,1,0,0,0
ABC Song,Chorus,0.983,0.668,0.081,0.42,0.114,0.0366,114.358,0.0925,75,0,0,0,1,0,0,0,0,0,0,0,0
Hava Nagilah,Henri Salvador,0.0127,0.639,0.571,0.00283,0.0963,0.0284,113.038,0.273,50,0,0,0,1,0,0,0,0,0,0,0,0
